label,comment
0,非常辣，人特别多，排了半天队，上菜挺快的 第一次吃正宗的重庆麻辣火锅 太辣了 不过味道不错 好吃的不得了
0,非常好，物超所值。朋友介绍的，第二次来了。
0,芋儿鸡油好差，潲水油，油很浑，点个外卖鸡都没几块，味道很一般，很失望的一次点餐
0,味道不错，奶酪面包觉得挺好吃。。。
0,再也不想在这家点了，快饿死了都吃不上饭，打电话催也不起作用，也是醉了…
0,第一次去，服务态度很好，味道也很好
0,味道好，值得去试试。服务就就差了点
0,首先店里的环境很好，服务也很贴心。盛饭的铁板确实挺烫的，但是老板一端上来就提醒注意。
0,真心难吃，饭是硬的，肉炒得没什么味。
1,不能理解为什么点餐系统已经生成了三块的打包费，还“必须”加三块钱餐盒费，还有备注要微辣不知道是看错了还是怎么，简直辣得没法儿吃，一个人吃我可以理解你们的微辣比其他家的辣，可是两三个人吃都觉得辣得不行，第二天还拉肚子……
1,牛肉估计是剩牛肉，一股臭味，怎么吃！
0,很好吃，买juan'le之后很划算
1,不想多说，扇贝不新鲜，豆干儿馊了，鱼没味道
0,份量足，味道好，点赞
0,经常来吃！味道不错。。。。。。。。。。
0,感觉炸排骨非常棒，我们是逛街的时候路过看到，感觉还不错，人也多，就在美团上搜了一下，团了一份，孜然味儿的，分量足，而且好吃，感觉比留香好吃，这个不硬，外面脆的，里面软的，骨头也不太多，反正很不错，推荐。
0,一如既往的好，就是服务跟不上
0,好吃 分量不是一般的足 味道也特别好
0,口感不错。下次还会继续。。还是喜欢吃肉
1,没有味道，龙虾屁股不割，不干净，听我朋友说他去店吃的时候吃了个水蟑螂。结账时还说不要我们去吃了
0,好评，回头客！
0,不吃辣椒 也备注了 每次都给我放辣椒 直接甩了没办法吃
0,特别酷的用纸包着。隔着纸就能看见汤汁在纸里沸腾。配菜的小萝卜特别好吃！！俩人都吃的撑撑的，再来一个人正好！ #鱼#
0,味道，环境棒棒哒！
0,味道很不错～就是忙起来上菜速度有点慢～
0,服务周到，味美价廉。
0,依旧满意，这次吃的超级爽。该吃的都吃了，不该吃的我都吃了，下次继续和小伙伴一起去~
0,等了一上午饿死了，到头来没有米饭、这几个小吃塞牙缝吗？没米饭不能提前打电话跟我商量？我也好另做打算啊、太没责任心了、你们长点心吧
0,说实话确实不咋地  而且两个饭只送一袋花生奶 这就没看懂了 
